0,1,2,3,4,5
"('ecoinvent-3.4-biosphere', '42f51ad5-6190-4641-b961-f411310554e9')",Acrylic acid,Acrylic acid,C3H4O2,72.06,
"('ecoinvent-3.4-biosphere', '42f51ad5-6190-4641-b961-f411310554e9')",Acrylic acid,Acrylic acid,C3H4O2,72.06,
"('ecoinvent-3.4-biosphere', '42f51ad5-6190-4641-b961-f411310554e9')",Acrylic acid,Acrylic acid,C3H4O2,72.06,
"('ecoinvent-3.4-biosphere', 'cc6a1abb-b123-4ca6-8f16-38209df609be')","Carbon dioxide, in air",Carbon dioxide,CO2,44.009,
"('ecoinvent-3.4-biosphere', 'cc6a1abb-b123-4ca6-8f16-38209df609be')","Carbon dioxide, in air",Carbon dioxide,CO2,44.009,
"('ecoinvent-3.4-biosphere', 'cc6a1abb-b123-4ca6-8f16-38209df609be')","Carbon dioxide, in air",Carbon dioxide,CO2,44.009,
"('ecoinvent-3.4-biosphere', '928f64ab-0d84-4923-802f-1fa42ea251f2')",Folpet,Folpet,C9H4Cl3NO2S,296.6,
"('ecoinvent-3.4-biosphere', '928f64ab-0d84-4923-802f-1fa42ea251f2')",Folpet,Folpet,C9H4Cl3NO2S,296.6,
"('ecoinvent-3.4-biosphere', '928f64ab-0d84-4923-802f-1fa42ea251f2')",Folpet,Folpet,C9H4Cl3NO2S,296.6,
"('ecoinvent-3.4-biosphere', '73ed05cc-9727-4abf-9516-4b5c0fe54a16')","Carbon dioxide, non-fossil",Carbon dioxide,CO2,44.009,
"('ecoinvent-3.4-biosphere', '73ed05cc-9727-4abf-9516-4b5c0fe54a16')","Carbon dioxide, non-fossil",Carbon dioxide,CO2,44.009,
"('ecoinvent-3.4-biosphere', '73ed05cc-9727-4abf-9516-4b5c0fe54a16')","Carbon dioxide, non-fossil",Carbon dioxide,CO2,44.009,
"('ecoinvent-3.4-biosphere', 'df0ba4e1-ab58-4e03-ac9e-05c76ebfa7ec')",Scandium,Scandium,Sc,44.95591,
"('ecoinvent-3.4-biosphere', 'df0ba4e1-ab58-4e03-ac9e-05c76ebfa7ec')",Scandium,Scandium,Sc,44.95591,
"('ecoinvent-3.4-biosphere', 'df0ba4e1-ab58-4e03-ac9e-05c76ebfa7ec')",Scandium,Scandium,Sc,44.95591,
"('ecoinvent-3.4-biosphere', 'cacfd448-6c2d-4061-9363-fd506b979f25')","Ethane, 1,1,2-trichloro-1,2,2-trifluoro-, CFC-113","1,1,2-trichloro-1,2,2-trifluoroEthane",C2Cl3F3,187.37,
"('ecoinvent-3.4-biosphere', 'cacfd448-6c2d-4061-9363-fd506b979f25')","Ethane, 1,1,2-trichloro-1,2,2-trifluoro-, CFC-113","1,1,2-trichloro-1,2,2-trifluoroEthane",C2Cl3F3,187.37,
"('ecoinvent-3.4-biosphere', 'cacfd448-6c2d-4061-9363-fd506b979f25')","Ethane, 1,1,2-trichloro-1,2,2-trifluoro-, CFC-113","1,1,2-trichloro-1,2,2-trifluoroEthane",C2Cl3F3,187.37,
"('ecoinvent-3.4-biosphere', 'f3841066-b23d-4c7a-94bd-791c55bd3e0f')",Acetonitrile,Acetonitrile,C2H3N,41.05,
"('ecoinvent-3.4-biosphere', 'f3841066-b23d-4c7a-94bd-791c55bd3e0f')",Acetonitrile,Acetonitrile,C2H3N,41.05,
"('ecoinvent-3.4-biosphere', 'f3841066-b23d-4c7a-94bd-791c55bd3e0f')",Acetonitrile,Acetonitrile,C2H3N,41.05,
"('ecoinvent-3.4-biosphere', '1d8ba55c-e60b-45ef-8e66-d947d8e7a01f')",Formamide,Formamide,CH3NO,45.041,
"('ecoinvent-3.4-biosphere', '1d8ba55c-e60b-45ef-8e66-d947d8e7a01f')",Formamide,Formamide,CH3NO,45.041,
"('ecoinvent-3.4-biosphere', '1d8ba55c-e60b-45ef-8e66-d947d8e7a01f')",Formamide,Formamide,CH3NO,45.041,
"('ecoinvent-3.4-biosphere', 'f1c0cd31-8d5e-4bc9-91f6-79e76329234e')",Propionic acid,Propionic acid,C3H6O2,74.08,
"('ecoinvent-3.4-biosphere', 'f1c0cd31-8d5e-4bc9-91f6-79e76329234e')",Propionic acid,Propionic acid,C3H6O2,74.08,
"('ecoinvent-3.4-biosphere', 'f1c0cd31-8d5e-4bc9-91f6-79e76329234e')",Propionic acid,Propionic acid,C3H6O2,74.08,
"('ecoinvent-3.4-biosphere', 'c54e6fd5-a896-4b6c-9247-7f599c851bf1')",Helium,Helium,He,4.0026,
"('ecoinvent-3.4-biosphere', 'c54e6fd5-a896-4b6c-9247-7f599c851bf1')",Helium,Helium,He,4.0026,
"('ecoinvent-3.4-biosphere', 'c54e6fd5-a896-4b6c-9247-7f599c851bf1')",Helium,Helium,He,4.0026,
"('ecoinvent-3.4-biosphere', '3277a622-8234-4c73-ba22-526cf9a0fccc')",Propanol,Propanol,C3H8O,60.1,
"('ecoinvent-3.4-biosphere', '3277a622-8234-4c73-ba22-526cf9a0fccc')",Propanol,Propanol,C3H8O,60.1,
